"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type","is.lhn","layer","ct.layer","classic.transmitter","other.transmitter"
452651021,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHON","LHAD1a4","SLPal2_ventral","DPLal3_ventral","3324315","poor","none","none",TRUE,TRUE,"LHAD1","LHAD1a4b",TRUE,3.85788381742739,4,"acetylcholine","acetylcoline"
5901193715,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHON","LHAD1i2","SLPal2_ventral","DPLal3_ventral","3324315","medium","none","none",FALSE,TRUE,"LHAD1","LHAD1i2a",TRUE,4.05731832139202,4,"acetylcholine","acetylcoline"
327838570,"SLP018a","ADL03","ADL03c","ADL03c_pct","FALSE","LHON","LHAD1k1","primary","primary","11915231","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1k1",TRUE,4.32224532224532,4,"unknown","unknown"
545440837,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1879479","good","Cha-F-400246","good",TRUE,FALSE,"LHAD1","LHAD1a2a",TRUE,3.99382716049383,4,"acetylcholine","acetylcoline"
576812462,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","2141315","good","L1721#1","good",TRUE,FALSE,"LHAD1","LHAD1a2a",TRUE,4.09641025641026,4,"acetylcholine","acetylcoline"
734693858,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1056118","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1a2a",TRUE,4.57985757884028,4,"acetylcholine","acetylcoline"
420615275,"SLP021a","ADL03","ADL03m","ADL03q_pct","FALSE","LHON","LHAD1a4","SLPal2_ventral","DPLal3_ventral","5675915","medium","130524c0","good",TRUE,FALSE,"LHAD1","LHAD1a4a",TRUE,3.80809128630705,4,"acetylcholine","acetylcoline"
421983723,"SLP021a","ADL03","ADL03m","ADL03q_pct","FALSE","LHON","LHAD1a4","SLPal2_ventral","DPLal3_ventral","1290929","poor","none","none",TRUE,FALSE,"LHAD1","LHAD1a4a",TRUE,3.61688980432544,4,"acetylcholine","acetylcoline"
544107243,"SLP023a","ADL03","ADL03q","ADL03s_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","4744251","good","Gad1-F-900037","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,4.36108220603538,4,"acetylcholine","acetylcoline"
730562988,"SLP023a","ADL03","ADL03q","ADL03s_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","2842610","good","120816c1","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,4.29979466119097,4,"acetylcholine","acetylcoline"
456187010,"SLP075a","ADL15","ADL15g","ADL15g_a_pct","FALSE","LHON","LHAD1b1","LHl2_medial","DPLal2_medial","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1b1b",NA,4.77003121748179,5,"acetylcholine","acetylcoline"
551989415,"SLP075a","ADL15","ADL15g","ADL15g_a_pct","FALSE","LHON","LHAD1b1","LHl2_medial","DPLal2_medial","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1b1b",NA,4.82765737874097,5,"acetylcholine","acetylcoline"
