"L248","JRC_IS04041-20150904_52_D2","93E08","34G01","1B1","1","Yes","","Yes_TI_wk16","Yes-TI_wk13","Yes","Strong","SplitGAL4annotate/Image/Untitled_427.jpg"
"L471","JRC_IS04043-20150904_52_G2","93E08","59G08","PN","","Yes","","","","In Progress (flycore)","Strong","SplitGAL4annotate/Image/Untitled_428.jpg"
"L590","JRC_IS04044-20150904_52_H2","93E08","95A10","1E","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_429.jpg"
"L304","JRC_IS15279-20151016_52_A6","65H10","46E11","8A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","Case4_Wk5","Yes","Weak","SplitGAL4annotate/Image/Untitled_430.jpg"
"L453","JRC_IS21819-20151016_52_C3","11B07","59F02","8A","1","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_431.jpg"
"L460","JRC_IS21820-20151016_52_C4","14E05","59F02","8A","2","Yes","20X_PaavoMike_July_2016","Yes_TI-wk24","","Yes","Weak","SplitGAL4annotate/Image/Untitled_432.jpg"
"","","","","7A","","","","","","","",""
"L467","JRC_IS21821-20151016_52_C5","38D01","59G08","PN","0","Yes","","","Yes_TI_wk31","Yes","Weak","SplitGAL4annotate/Image/Untitled_433.jpg"
"L567","JRC_IS21825-20151016_52_C2","22B12","94F11","138","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","Yes-TI_wk17","Yes","Medium","SplitGAL4annotate/Image/Untitled_434.jpg"
"L1049","JRC_IS22337-20151030_51_F2","25A01","41G09","4A","2","No","","Yes_TI-wk24","Yes-TI_wk18","Yes","None","SplitGAL4annotate/Image/Untitled_435.jpg"
"","","","","","","","","","","","",""
"L1224","JRC_IS22340-20151030_51_E2","16C09","48E02","138","2","Yes","20X_PaavoMike_July_2016","","","Yes","None","SplitGAL4annotate/Image/Untitled_436.jpg"
"","","","","(12A)","","","","","","","",""
"L1225","JRC_IS22341-20151030_51_B2","19E06","48E02","12A","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","","Yes","None","SplitGAL4annotate/Image/Untitled_437.jpg"
"","","","","","","","","","","","",""
"L1237","JRC_IS22343-20151030_51_A3","20G10","48E02","70C","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_438.jpg"
"L1294","JRC_IS22347-20151030_51_C4","19E06","52H12","12A","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_439.jpg"
"L1723","JRC_IS22371-20151030_51_F6","12H12","85F05","(7)","1","No","","","","No","Weak","SplitGAL4annotate/Image/Untitled_440.jpg"
"L1724","JRC_IS22372-20151030_51_F4","15A01","85F05","3B","1","Yes","","Yes_TI-wk24","","Yes","Medium","SplitGAL4annotate/Image/Untitled_441.jpg"
"","","","","3C","","","","","","","",""
"L1727","JRC_IS22374-20151030_51_E4","16C09","85F05","3F","1","Yes","20X_PaavoMike_July_2016","","","Yes","None","SplitGAL4annotate/Image/Untitled_442.jpg"
"L1739","JRC_IS22376-20151030_51_D6","11E08","92A07","16D","1","Yes","","Yes_TI_wk12","","Yes","Weak","SplitGAL4annotate/Image/Untitled_443.jpg"
"L1740","JRC_IS22377-20151030_51_D4","12H12","92A07","16D","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk12","Yes-TI_wk10","Yes","Weak","SplitGAL4annotate/Image/Untitled_444.jpg"
"L707","JRC_IS22384-20151030_51_C2","12H12","15A01","16D","1","Yes","","Yes_TI-wk20","","Yes","None","SplitGAL4annotate/Image/Untitled_445.jpg"
"L718","JRC_IS22385-20151030_51_B3","19E06","17B08","12A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk22","","Yes","None","SplitGAL4annotate/Image/Untitled_446.jpg"
"L798","JRC_IS22388-20151030_51_E3","19E06","25B07","3F","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk12","","Yes","Weak","SplitGAL4annotate/Image/Untitled_447.jpg"
"L843","JRC_IS22390-20151030_51_D3","19E06","28A10","12A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","","Yes","None","SplitGAL4annotate/Image/Untitled_448.jpg"
"L886","JRC_IS22396-20151030_51_D5","25A01","30A10","4A","3","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_449.jpg"
"","","","","76B","","","","","","","",""
"L1000","JRC_IS22532-20151106_52_J3","94B04","38F08","27C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","Yes-TI_wk17","Yes","Weak","SplitGAL4annotate/Image/Untitled_450.jpg"
"L1031","JRC_IS22536-20151106_52_I2","94B04","39H01","3F","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_451.jpg"
"L1139","JRC_IS22549-20151106_52_C1","93A02","44G08","7A","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","Yes_TI_wk21","Yes","None","SplitGAL4annotate/Image/Untitled_452.jpg"
"L1157","JRC_IS22554-20151106_51_B2","41H07","46E07","139","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","Yes_TI_wk30","Yes","None","SplitGAL4annotate/Image/Untitled_453.jpg"
"L1231","JRC_IS22568-20151106_51_F1","84A06","48E02","12C","1","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_454.jpg"
"L1291","JRC_IS22584-20151106_52_G2","94B04","52H12","12A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk20","","Yes","Weak","SplitGAL4annotate/Image/Untitled_455.jpg"
"","","","","3E","","","","","","","",""
"L1300","JRC_IS22587-20151106_51_F4","84A06","52H12","12C","1","Yes","20X_PaavoMike_July_2016","","","In Progress (flycore)","Weak","SplitGAL4annotate/Image/Untitled_456.jpg"
"L1314","JRC_IS22591-20151106_52_F2","93A02","53B06","3B","2","Yes","","Yes_TI-wk20","","Yes","Strong","SplitGAL4annotate/Image/Untitled_457.jpg"
"","","","","3D","","","","","","","",""
"L1315","JRC_IS22592-20151106_51_F3","91F03","53B06","3A","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_458.jpg"
"L1354","JRC_IS22604-20151106_52_A6","49B08","53D01","4A","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk14","Case4_Wk1","Yes","Weak","SplitGAL4annotate/Image/Untitled_459.jpg"
"L1386","JRC_IS22609-20151106_51_B5","41H07","54G12","138","2","Yes","","Yes_TI_wk14","","Yes","None","SplitGAL4annotate/Image/Untitled_460.jpg"
"","","","","1E","","","","","","","",""
"L1395","JRC_IS22613-20151106_52_E6","93A02","55C09","NotPaper","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk25","Yes-TI_wk10","Yes","None","SplitGAL4annotate/Image/Untitled_461.jpg"
"L1396","JRC_IS22614-20151106_52_I1","94B04","55C09","16B","1","Yes","","Yes_TI-wk25","Yes_TI_wk29","Yes","Weak","SplitGAL4annotate/Image/Untitled_462.jpg"
"L1477","JRC_IS22624-20151106_51_J2","49B08","65C07","4A","","Yes","","Yes_TI_wk13","Yes_TI_wk26","Yes","Medium","SplitGAL4annotate/Image/Untitled_463.jpg"
"L1495","JRC_IS22631-20151106_52_D2","93A02","65D05","NotPaper","1","Yes","","Yes_TI_wk13","","Yes","Medium","SplitGAL4annotate/Image/Untitled_464.jpg"
"L1538","JRC_IS22646-20151106_52_E1","93A02","66B12","16B","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk25","Case4_Wk5","Yes","None","SplitGAL4annotate/Image/Untitled_465.jpg"
"L1554","JRC_IS22656-20151106_51_G1","91F03","71D08","3C","2","Yes","","Yes_TI_wk13","","Yes","Medium","SplitGAL4annotate/Image/Untitled_466.jpg"
"","","","","V2","","","","","","","",""
"L1614","JRC_IS22675-20151106_51_I1","44G08","81A04","16F","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk12","Yes-TI_wk10","Yes","Medium","SplitGAL4annotate/Image/Untitled_467.jpg"
"L1721","JRC_IS22713-20151106_52_E4","92D09","85F05","16C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk12","Yes-TI_wk10","Yes","Weak","SplitGAL4annotate/Image/Untitled_468.jpg"
"L1744","JRC_IS22721-20151106_52_D4","92D09","92A07","16D","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk13","Yes-TI_wk17","Yes","Weak","SplitGAL4annotate/Image/Untitled_469.jpg"
"L1749","JRC_IS22723-20151106_51_E1","79C09","92A07","116B","2","Yes","20X_PaavoMike_July_2016","Yes_TI-wk22","","Yes","Weak","SplitGAL4annotate/Image/Untitled_470.jpg"
"","","","","4A","","","","","","","",""
"L1806","JRC_IS22727-20151106_52_B6","44G08","94F11","2","2","Yes","20X_PaavoMike_July_2016","Yes_TI-wk27","","Yes","None","SplitGAL4annotate/Image/Untitled_471.jpg"
"","","","","(7)","","","","","","","",""
"L1812","JRC_IS22730-20151106_52_E3","92D09","94F11","16D","1","Yes","","Yes_TI_wk13","Yes_TI_wk24","Yes","Medium","SplitGAL4annotate/Image/Untitled_472.jpg"
"L629","JRC_IS22737-20151106_52_I5","30A10","10H02","27A","1","Yes","","Yes_TI_wk12","Yes_TI_wk23","Yes","Medium","SplitGAL4annotate/Image/Untitled_473.jpg"
"L721","JRC_IS22755-20151106_51_J1","51H04","17B08","12C","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk23","Yes_TI_wk24","Yes","None","SplitGAL4annotate/Image/Untitled_474.jpg"
"L763","JRC_IS22762-20151106_52_D1","93A02","20A03","51C","2","Yes","","Yes_TI_wk14","","Yes","Strong","SplitGAL4annotate/Image/Untitled_475.jpg"
"","","","","(29B)","","","","","","","",""
"L770","JRC_IS22763-20151106_51_B1","37E08","20G10","70C","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk22","","Yes","None","SplitGAL4annotate/Image/Untitled_476.jpg"
"L772","JRC_IS22764-20151106_52_B1","48E02","20G10","70C","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk23","","Yes","None","SplitGAL4annotate/Image/Untitled_477.jpg"
"L779","JRC_IS22766-20151106_51_A1","30A10","22A12","116B","2","Yes","","Yes_TI-wk28","","Yes","None","SplitGAL4annotate/Image/Untitled_478.jpg"
"","","","","4I","","","","","","","",""
"L794","JRC_IS22769-20151106_51_F5","91F03","25B07","3A","1","Yes","","Yes_TI_wk17","","Yes","Medium","SplitGAL4annotate/Image/Untitled_479.jpg"
"L945","JRC_IS22794-20151106_51_F2","91F03","33E02","3C","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_480.jpg"
"","","","","(V2)","","","","","","","",""
"L985","JRC_IS22801-20151106_51_H5","48E02","37E08","70C","1","Yes","","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_481.jpg"
"L990","JRC_IS22802-20151106_52_B2","48F03","37G11","11A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","Yes_TI_wk26","Yes","Medium","SplitGAL4annotate/Image/Untitled_482.jpg"
"L475","JRC_IS22807-20151106_52_A3","55C09","65D05","NotPaper","1","Yes","","Yes_TI-wk19","Yes_TI_wk24","Yes","Medium","SplitGAL4annotate/Image/Untitled_483.jpg"
"L1859","JRC_IS23065-20151120_52_F2","VT012412","18B06","4G","1","No","","","","No","Strong","SplitGAL4annotate/Image/Untitled_484.jpg"
"L1860","JRC_IS23066-20151120_53_D1","VT024617","18B06","4G","1","Yes","","","","In Progress (flycore)","Medium","SplitGAL4annotate/Image/Untitled_485.jpg"
"","","","","","","","","","","","",""
"L1925","JRC_IS23087-20151120_52_G3","VT017375","75C05","54C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk13","Yes-TI_wk10","Yes","None","SplitGAL4annotate/Image/Untitled_593.jpg"
"L2001","JRC_IS23097-20151120_52_G5","VT022244","VT014480","147","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk12","Yes-TI_wk11","Yes","Weak","SplitGAL4annotate/Image/Untitled_487.jpg"
"L2002","JRC_IS23098-20151120_52_B4","VT044340","VT014480","147","1","Yes","","Yes_TI_wk15","Yes_TI_wk24","Yes","Weak","SplitGAL4annotate/Image/Untitled_488.jpg"
"L2022","JRC_IS23103-20151120_52_D4","VT017183","VT022244","147","1","Yes","","","","In Progress (flycore)","Medium","SplitGAL4annotate/Image/Untitled_489.jpg"
"L2033","JRC_IS23107-20151120_52_H2","VT043152","VT027015","145","1","Yes","","Yes_TI_wk13","Yes-TI_wk11","Yes","Medium","SplitGAL4annotate/Image/Untitled_490.jpg"
"L2038","JRC_IS23109-20151120_52_B3","VT013878","VT043152","145","1","Yes","","Yes_TI_wk17","","Yes","Strong","SplitGAL4annotate/Image/Untitled_491.jpg"
"L2041","JRC_IS23112-20151120_52_D2","VT049488","VT043152","145","1","Yes","","Yes_TI_wk15","Yes-TI_wk11","Yes","None","SplitGAL4annotate/Image/Untitled_492.jpg"
"L2051","JRC_IS23114-20151120_52_C1","VT022244","VT044340","147","1","Yes","","Yes_TI_wk14","Yes-TI_wk11","Yes","Medium","SplitGAL4annotate/Image/Untitled_493.jpg"
"L2053","JRC_IS23115-20151120_52_J1","VT013878","VT049488","145","","No","","Yes_TI-wk22","Yes_TI_wk28","Yes","Medium","SplitGAL4annotate/Image/Untitled_494.jpg"
"","","","","104","","","","","","","",""
"L2059","JRC_IS23121-20151120_52_E1","VT022244","VT050273","147","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_495.jpg"
"","","","","(4)","","","","","","","",""
"L2060","JRC_IS23122-20151120_52_B2","VT044340","VT050273","147","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_496.jpg"
"L2066","JRC_IS23126-20151120_53_D3","VT055836","VT065319","29B","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_497.jpg"
"L2098","JRC_IS23129-20151120_53_B4","24C08","20A03","1A","1","Yes","","Yes_TI_wk15","Yes_TI_wk24","Yes","Medium","SplitGAL4annotate/Image/Untitled_498.jpg"
"L2104","JRC_IS23133-20151120_53_E3","48E02","24C08","138","1","Yes","","Yes_TI_wk17","Yes_TI_wk24","Yes","None","SplitGAL4annotate/Image/Screen Shot 2016-01-29 at 9.55.13 PM.png"
"L2158","JRC_IS23161-20151120_52_D5","64B08","VT002834","98","1","Yes","20X_PaavoMike_July_2016","","Case4_Wk6","Yes","Weak","SplitGAL4annotate/Image/Untitled_499.jpg"
"L2185","JRC_IS23170-20151120_52_G4","64B08","VT029317","29B","1","Yes","","Yes_TI_wk15","Case4_Wk1","Yes","Weak","SplitGAL4annotate/Image/Untitled_500.jpg"
"L2232","JRC_IS23186-20151120_52_E2","22B02","VT050273","98","","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_501.jpg"
"L2233","JRC_IS23187-20151120_52_B1","37A11","VT050273","4E","1","Yes","","Yes_TI_wk15","Yes-TI_wk10","Yes","Medium","SplitGAL4annotate/Image/Untitled_502.jpg"
"L2241","JRC_IS23191-20151120_52_I4","37G11","VT043140","11A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","","Yes","Weak","SplitGAL4annotate/Image/Untitled_503.jpg"
"L1842","JRC_IS23341-20151113_53_A3","49B08","18B06","4G","1","Yes","","Yes_TI_wk15","Yes_TI_wk19","Yes","Medium","SplitGAL4annotate/Image/Untitled_504.jpg"
"L1965","JRC_IS23346-20151113_53_C3","VT000848","16H04","54B","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk15","Yes_TI_wk24","Yes","Medium","SplitGAL4annotate/Image/Untitled_505.jpg"
"L2013","JRC_IS23347-20151113_52_H1","VT006202","16H04","54B","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk21","","Yes","None","SplitGAL4annotate/Image/Untitled_506.jpg"
"","","","","","","","","","","","",""
"L1865","JRC_IS23356-20151113_52_G1","VT002033","34E07","29B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_507.jpg"
"L1899","JRC_IS23369-20151113_53_A2","VT007394","75C05","54C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk15","Yes_TI_wk24","Yes","None","SplitGAL4annotate/Image/Untitled_508.jpg"
"L1931","JRC_IS23371-20151113_52_J4","48G07","VT019059","54A","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_509.jpg"
"L1933","JRC_IS23372-20151113_52_E2","49G06","34E07","4A","1","Yes","","Yes_TI-wk19","Yes-TI_wk18","Yes","None","SplitGAL4annotate/Image/Untitled_510.jpg"
"L1949","JRC_IS23376-20151113_52_B3","VT002216","85A07","70A","1","Yes","","Yes_TI-wk22","","Yes","None","SplitGAL4annotate/Image/Untitled_511.jpg"
"L1876","JRC_IS23383-20151113_53_D4","11G08","VT000848","54A","2","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_512.jpg"
"","","","","54C","","","","","","","",""
"L1940","JRC_IS23384-20151113_53_C1","66A08","VT000926","70E","2","Yes","","Yes_TI_wk15","Case4_Wk6","Yes","Medium","SplitGAL4annotate/Image/Untitled_513.jpg"
"L2048","JRC_IS23389-20151113_53_F2","66A08","VT002216","70A","2","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_514.jpg"
"","","","","29C","","","","","","","",""
"L1966","JRC_IS23390-20151113_53_G1","11G08","VT007394","54B","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk17","","Yes","Weak","SplitGAL4annotate/Image/Untitled_515.jpg"
"L1974","JRC_IS23391-20151113_53_C2","VT000848","VT007394","54B","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_516.jpg"
"L1983","JRC_IS23395-20151113_52_I3","76E07","VT008671","17C","2","Yes","20X_PaavoMike_July_2016","Yes_TI_wk15","Case4_Wk1","Yes","Weak","SplitGAL4annotate/Image/Untitled_517.jpg"
"","","","","","","","","","","","",""
"L1978","JRC_IS23400-20151113_52_G2","VT002033","VT013949","29B","3","Yes","","Yes_TI-wk24","","Yes","Weak","SplitGAL4annotate/Image/Untitled_518.jpg"
"","","","","29C","","","","","","","",""
"","","","","12A","","","","","","","",""
"L1893","JRC_IS23405-20151113_52_D2","18B06","VT024617","4G","1","Yes","","Yes_TI_wk15","Yes-TI_wk13","Yes","Medium","SplitGAL4annotate/Image/Untitled_519.jpg"
"L1979","JRC_IS23409-20151113_52_J3","17A04","VT026759","85","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_520.jpg"
"L1950","JRC_IS23823-20151113_53_D1","17A04","VT006903","85","1","Yes","","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_521.jpg"
"L1995","JRC_IS23829-20151113_53_B3","17A04","VT020605","85","1","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_522.jpg"
"L2029","JRC_IS23832-20151113_53_E1","34E07","VT013949","29B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_523.jpg"
"L1989","JRC_IS23827-20151113_53_F4","22D02","VT008671","17C","","Yes","20X_PaavoMike_July_2016","Yes_TI_wk17","","Yes","Weak","SplitGAL4annotate/Image/Untitled_524.jpg"
"L2049","JRC_IS23834-20151113_52_C4","25B07","VT013596","3B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_525.jpg"
"L1916","JRC_IS23818-20151113_53_H5","66A08","VT017258","PN","1","No","","","","No","Medium","SplitGAL4annotate/Image/Untitled_526.jpg"
"L1900","JRC_IS23817-20151113_52_G3","17A04","VT041432","85","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk24","","Yes","None","SplitGAL4annotate/Image/Untitled_527.jpg"
"L1955","JRC_IS23824-20151113_52_A4","11G08","VT017375","54A","2","Yes","20X_PaavoMike_July_2016","Yes_TI-wk18","","Yes","Weak","SplitGAL4annotate/Image/Untitled_528.jpg"
"","","","","54C","","","","","","","",""
"L1847","JRC_IS23805-20151113_52_H4","VT000848","75C05","54C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk17","","Yes","None","SplitGAL4annotate/Image/Untitled_529.jpg"
"L1850","JRC_IS23807-20151113_52_F4","49B08","VT024617","4G","1","Yes","","Yes_TI_wk17","Yes-TI_wk13","Yes","Medium","SplitGAL4annotate/Image/Untitled_530.jpg"
"L1961","JRC_IS23825-20151113_52_H3","34E07","VT002033","29B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_531.jpg"
"L1990","JRC_IS23828-20151113_52_G4","25G10","VT008671","17C","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk17","","Yes","None","SplitGAL4annotate/Image/Untitled_532.jpg"
"L1938","JRC_IS23819-20151113_52_H2","11E08","30A10","29G","1","Yes","","Yes_TI_wk17","","Yes","Medium","SplitGAL4annotate/Image/Untitled_533.jpg"
"L1943","JRC_IS23821-20151113_52_I4","22A12","VT020714","116A","1","Yes","","Yes_TI-wk18","Yes_TI_wk30","Yes","Medium","SplitGAL4annotate/Image/Untitled_534.jpg"
"L2223","JRC_IS24155-20151204_51_D5","VT058488","82E01","4I","1","Yes","","","Case4_Wk3","Yes","Medium","SplitGAL4annotate/Image/Untitled_535.jpg"
"L2161","JRC_IS24204-20151204_51_D2","VT008659","VT002834","4E","1","Yes","","","","In Progress (flycore)","Medium","SplitGAL4annotate/Image/Untitled_536.jpg"
"L2239","JRC_IS24203-20151204_51_D1","VT002050","37G11","11A","1","Yes","","Yes_TI-wk18","","Yes","Medium","SplitGAL4annotate/Image/Untitled_537.jpg"
"L2240","JRC_IS24153-20151204_51_E1","VT043140","37G11","11A","1","Yes","","","","In Progress (flycore)","Medium","SplitGAL4annotate/Image/Untitled_538.jpg"
"L722","JRC_IS24213-20151204_51_E2","64G04","17B08","12A","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_539.jpg"
"L2087","JRC_IS24177-20151204_51_F1","VT006486","VT060731","84","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk18","Yes-TI_wk10","Yes","None","SplitGAL4annotate/Image/Untitled_540.jpg"
"L2219","JRC_IS24166-20151204_51_F3","VT029317","VT060077","29B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_541.jpg"
"L2220","JRC_IS24172-20151204_51_F4","VT041887","VT060077","154","1","Yes","","Yes_TI-wk24","Yes_TI_wk32","Yes","Medium","SplitGAL4annotate/Image/Untitled_542.jpg"
"L2170","JRC_IS24146-20151204_51_G2","VT002834","VT008659","4E","1","Yes","","Yes_TI-wk18","Yes-TI_wk14","Yes","Medium","SplitGAL4annotate/Image/Untitled_543.jpg"
"L2312","JRC_IS24831-20151218_52_D1","49H05","34E09","125","2","Yes","","Yes_TI-wk18","Case4_Wk2","Yes","Weak","SplitGAL4annotate/Image/Untitled_544.jpg"
"","","","","137","","","","","","","",""
"L2392","JRC_IS24820-20151218_52_E3","34E09","VT023823","76B","21","Yes","","Yes_TI-wk19","Yes-TI_wk10","Yes","Strong","SplitGAL4annotate/Image/Untitled_545.jpg"
"","","","","","","","","","","","",""
"L2382","JRC_IS24794-20151218_52_D5","VT006202","VT008671","125","1","Yes","","Yes_TI-wk18","Yes-TI_wk11","Yes","None","SplitGAL4annotate/Image/Untitled_546.jpg"
"L2188","JRC_IS24141-20151204_52_G4","VT002834","VT029317","29B","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_547.jpg"
"L2345","JRC_IS24813-20151218_52_A1","21D02","58F03","137","1","Yes","","Yes_TI-wk19","Case4_Wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_548.jpg"
"L2094","JRC_IS04924-20151204_52_G6","VT006486","VT008489","VisualPN1","0","Yes","","Yes_TI-wk19","Yes-TI_wk13","Yes","None","SplitGAL4annotate/Image/Untitled_549.jpg"
"L2387","JRC_IS24825-20151218_52_G4","44G08","VT016266","151A","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk26","Case4_Wk4","Yes","Ascending","SplitGAL4annotate/Image/Untitled_551.jpg"
"L2385","JRC_IS24840-20151218_52_F2","70G05","VT008683","116B","1","Yes","","Yes_TI-wk18","","Yes","Medium","SplitGAL4annotate/Image/Untitled_552.jpg"
"L2338","JRC_IS24815-20151218_52_F1","25C01","53B06","2","1","Yes","","","Yes-TI_wk13","Yes","Medium","SplitGAL4annotate/Image/Untitled_553.jpg"
"L1959","JRC_IS23354-20151211_52_G3","58F03","30A10","29G","1","Yes","","Yes_TI-wk18","Yes_TI_wk21","Yes","Medium","SplitGAL4annotate/Image/Untitled_554.jpg"
"L2088","JRC_IS24659-20151211_52_D5","VT060731","VT006486","84","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk20","Case4_Wk4","Yes","None","SplitGAL4annotate/Image/Untitled_555.jpg"
"L2193","JRC_IS24679-20151211_52_C3","VT060077","VT029317","29B","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk20","Case4_Wk1","Yes","Medium","SplitGAL4annotate/Image/Untitled_556.jpg"
"L424","JRC_IS04034-20150904_52_F1","59G08","54G12","NotPaper","1","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_557.jpg"
"L156","JRC_IS04040-20150904_52_B4","93E08","22C12","NotPaper","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_558.jpg"
"L393","JRC_IS21817-20151016_52_A3","47B03","53C10","7A","1","Yes","","Yes_TI-wk24","","Yes","None","SplitGAL4annotate/Image/Untitled_559.jpg"
"L1671","JRC_IS22360-20151030_51_D2","16C09","85C03","29C","3","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_560.jpg"
"","","","","12A","","","","","","","",""
"","","","","138","","","","","","","",""
"L734","JRC_IS22386-20151030_51_F5","25A01","18C07","(4A)","1","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_561.jpg"
"L1245","JRC_IS22576-20151106_51_H1","91F03","48G01","3A","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_562.jpg"
"L1306","JRC_IS22589-20151106_52_G1","30A10","53A03","(27A)","1","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_563.jpg"
"L2445","B1_T1_20151016_42_R1_L19","VT026019","41C05","151A","1","Yes","","Yes_TI-wk24","Case4_Wk2","Yes","Ascending","SplitGAL4annotate/Image/Untitled_564.jpg"
"L2103","JRC_IS23132-20151120_53_B2","20A03","24C08","NotPaper","2","Yes","","","","No","None","SplitGAL4annotate/Image/Screen Shot 2016-02-01 at 2.01.43 PM.png"
"","","","","","","","","","","","",""
"L2047","JRC_IS23374-20151211_52_H3","58F03","85A07","29G","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_565.jpg"
"L2197","JRC_IS24142-20151204_51_G3","VT002834","VT041887","","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_566.jpg"
"L2273","JRC_IS24656-20151211_52_H5","VT038219","VT026001","16B","2","Yes","","Yes_TI-wk22","Case4_Wk6","Yes","None","SplitGAL4annotate/Image/Untitled_567.jpg"
"","","","","125","","","","","","","",""
"L2201","JRC_IS24671-20151211_52_B2","VT058720","VT041887","151B","2","Yes","","Yes_TI-wk22","Yes_TI_wk23","Yes","Ascending","SplitGAL4annotate/Image/Untitled_568.jpg"
"","","","","(?)","","","","","","","",""
"","","","","150","","","","","","","",""
"L2202","JRC_IS24680-20151211_52_C2","VT060077","VT041887","151B","2","No","","","","No","Medium","SplitGAL4annotate/Image/Untitled_569.jpg"
"","","","","","","","","","","","",""
"L1606","JRC_IS22670-20151106_51_I3","48E02","79D04","NotPaper","1","Yes","","Yes_TI-wk21","Yes-TI_wk15-16 (flycore)","Yes","Medium","SplitGAL4annotate/Image/Untitled_570.jpg"
"L1827","JRC_IS22732-20151106_51_D4","30A10","95F09","29E","1","Yes","","Yes_TI-wk26","Yes_TI_wk22","Yes","Medium","SplitGAL4annotate/Image/Untitled_571.jpg"
