"SS00637","Ddc","83H01","SS00637-20130124_31_D4","51C","1","Yes","Yes_TI_wk9","Yes_TI_wk27","Needimage"
"SS01217","TDC2","BJD_127D06","SS01217-20140708_41_E2","70B","1","Yes","Yes_TI_wk9","Yes-TI_wk3","Strong"
"SS01262","BJD_120H03","19B06","SS01262-20140710_42_A2","PN","0","Yes","Yes_TI_wk1","Yes-rd2","None"
"SS01331","BJD_110D05","40C02","SS01331-20140708_41_A6","PN","0","Yes","Yes_TI_wk9","Yes-TI_flycore_18Apr-30May16","Medium"
"SS01371","55C09","BJD_110F03","SS01371-20140617_41_F1","16A","1","Yes","Yes_TI-wk25","Yes-rd2","Medium"
"","","","","","","","","",""
"SS01372","25B07","55F01","GMR_SS01372-20140808_31_G1","3A","1","Yes","Yes_TI_wk9","Yes_TI_wk27","Weak"
"MB072C","20A02","67F03","GMR_MB072C-20121114_31_E5","120","1","Yes","Yes_TI_wk5","Yes_TI_wk19","Needimage"
"MB155B","24E06","30H02","GMR_MB155B-20130123_33_A1","1A","2","Yes","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Medium"
"","","","","","","","","",""
"MB242A","64F07","57C10","GMR_MB242A-20130123_31_A1","142","2","Yes","","Yes_TI_wk19","Medium"
"","","","","(1D)","","","","",""
"MB583B","TH","42H01","GMR_MB583B-20140609_41_B3","143","1","Yes","","Yes-TI_flycore_18Apr-30May16","Medium"
"SS00581","48H12","41B07","GMR_SS00581-20140527_42_E1","141","1","Yes","","Yes-rd2","Medium"
"L507","34E09","78G09","JRC_SS03782-20150227_41_A4","141","1","Yes","","","Medium"
"L580","82F03","94F11","JRC_SS03780-20150227_41_A3","1B","2","Yes","Yes_TI-wk26","Yes-TI_flycore_18Apr-30May16","Strong"
"","","","","","","","","",""
"","","","","","","","","",""
"L605","22B02","10B09","JRC_SS03771-20150227_41_C4","138","1","Yes","","Yes-TI_wk3","Weak"
"L1828","64B08","95F09","JRC_SS03773-20150227_41_C6","29E","1","Yes","Yes_TI-wk26","Yes-TI_wk8","Strong"
"L719","34C08","17B08","JRC_SS03789-20150227_41_B5","12A","1","Yes","Yes_TI_wk9","Yes-TI_wk3","Medium"
"L717","11G08","16H04","JRC_SS03788-20150227_41_B6","54B","1","Yes","Yes_TI_wk17","Yes-TI_wk10","Weak"
"L1666","50H07","85A07","JRC_SS03790-20150227_41_B2","70A","1","Yes","Yes_TI-wk22","","Weak"
"L578","70G02","94F11","JRC_SS03776-20150227_41_D2","123","1","Yes","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Medium"
"L1668","65H10","85A07","SS03791-20150227_41_C1","70A","1","Yes","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","None"
"L1531","85A07","66A08","JRC_SS03797-20150227_41_D6","70D","1","Yes","","Yes-TI_wk10","Medium"
"L1543","76E07","66B12","JRC_SS03799-20150227_41_E2","17A","1","Yes","","Yes-TI_wk3","Weak"
"L784","49G06","22A12","JRC_SS03802-20150227_41_E4","4A","1","Yes","Yes_TI-wk27","Yes-TI_wk8","Weak"
