"","skid","catmaid_name","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","type","primary_neurite","anatomy_group","cell_type","cell","hemibrain_match","Frechter_et_al","closest_light_match","LM_match_quality","status","transmitter","other_names","citation","all_citations","new.cell.type","new.match","is.lhn"
"77","7739922","putative TPN-1 7739923 IT RJVR","VESa1","VESa1","BAla3","BAla3","IN","GNGT","GNG-PN","GNG-PN1","GNG-PN1","unknown","new","new:GNG-PN1","cell.type","preliminary","acetylcholine","none","Dolan et al. 2019","Dolan et al. 2019","uncertain","608166388",NA
"78","3968214","AV4 LH.R -> (SLP.R)? 3968215 FML Button - downstream of DA2","VPNl&d1","VPNl&d1_dorsal","BLAvm2","BLAvm2_dorsal","ON","Incomplete","Incomplete","Incomplete","Incomplete#1","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV5a9","603003871",TRUE
"79","3967814","AV4 3967815 FML Jalape,ao±o","VPNl&d1","VPNl&d1_dorsal","BLAvm2","BLAvm2_dorsal","ON","Incomplete","Incomplete","Incomplete","Incomplete#2","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV5a8","419884905",TRUE
"80","2705119","AV3 [LH.R] 2705120 RJVR FML upstream of DL4","LHa3","LHa3","BLVa2","BLVa2","ON","Incomplete","Incomplete","Incomplete","Incomplete#3","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV3o1","480586157",TRUE
"81","2417820","LH.R -> LH.R - SLP.R - SIP.R 2417821 FML Ohio - downstream of DL4","LHa1","LHa1_medial","BLAd1","BLAd1_medial","ON","Incomplete","Incomplete","Incomplete","Incomplete#4","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV6f2","425803370",TRUE
"82","1709487","LH.R -> SLP.R 1709488 RJVR - downstream of DA2","VPNl&d1","VPNl&d1_dorsal","BLAvm2","BLAvm2_dorsal","ON","Incomplete","Incomplete","Incomplete","Incomplete#5","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV5a8","419884905",TRUE
"83","1707578","AV6 1707579 FML - downstream of DA2","LHa1","LHa1_medial","BLAd1","BLAd1_medial","ON","Incomplete","Incomplete","Incomplete","Incomplete#6","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV6a10","5813047255",TRUE
"84","1706875","LH.R -> SLP.R 1706876 RJVR","LHa3","LHa3","BLVa2","BLVa2","ON","Incomplete","Incomplete","Incomplete","Incomplete#7","unknown","new","Incomplete","cell.type","preliminary","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV3a2","480257914",TRUE
"85","1299740","(LH.R,CA.R)->(SP.R,MB.R) 1299741 Birthday ASB","Primary","Primary","Primary","Primary","ON","PD2","LH_MB","LHMB1","LHMB1","5813020988","new","new:LHMB1","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHMB1","5813020988",TRUE
"86","4191753","VPN-1#1 4191754 Petrel RJVR ASB","VLPp&l1","VLPp&l1_ventral","DPLpv","DPLpv_ventral","IN","LOT","LO-PN","LO-PN1","LO-PN1#1","1163384537","old","new:LO-PN1","cell.type","preliminary","unknown","none","Dolan et al. 2019","Dolan et al. 2019","uncertain","5812993257",NA
